LINKED Size: 	1024	125.46
ARRAY Size: 	1024	61.64
LINKED Size: 	2048	122.87
ARRAY Size: 	2048	52.07
LINKED Size: 	4096	138.96
ARRAY Size: 	4096	59.54
LINKED Size: 	8192	47.51
ARRAY Size: 	8192	49.96
LINKED Size: 	16384	37.09
ARRAY Size: 	16384	33.72
LINKED Size: 	32768	27.92
ARRAY Size: 	32768	35.42
LINKED Size: 	65536	35.02
ARRAY Size: 	65536	31.68
LINKED Size: 	131072	14.55
ARRAY Size: 	131072	13.77
LINKED Size: 	262144	18.73
ARRAY Size: 	262144	19.18
LINKED Size: 	524288	20.0
ARRAY Size: 	524288	14.58
LINKED Size: 	1048576	18.39
ARRAY Size: 	1048576	25.8
