LINKED Size: 	1024	195.01
ARRAY Size: 	1024	85.4
LINKED Size: 	2048	308.0
ARRAY Size: 	2048	99.59
LINKED Size: 	4096	147.93
ARRAY Size: 	4096	72.54
LINKED Size: 	8192	49.19
ARRAY Size: 	8192	29.15
LINKED Size: 	16384	40.43
ARRAY Size: 	16384	33.76
LINKED Size: 	32768	44.55
ARRAY Size: 	32768	36.67
LINKED Size: 	65536	81.26
ARRAY Size: 	65536	76.24
LINKED Size: 	131072	18.38
ARRAY Size: 	131072	131.24
LINKED Size: 	262144	17.47
ARRAY Size: 	262144	22.1
LINKED Size: 	524288	17.91
ARRAY Size: 	524288	20.81
LINKED Size: 	1048576	20.81
ARRAY Size: 	1048576	22.08
