LINKED Size: 	1024	133.75
ARRAY Size: 	1024	74.19
LINKED Size: 	2048	69.19
ARRAY Size: 	2048	54.23
LINKED Size: 	4096	64.15
ARRAY Size: 	4096	57.05
LINKED Size: 	8192	56.27
ARRAY Size: 	8192	53.75
LINKED Size: 	16384	58.75
ARRAY Size: 	16384	56.26
LINKED Size: 	32768	49.16
ARRAY Size: 	32768	50.85
LINKED Size: 	65536	64.2
ARRAY Size: 	65536	51.24
LINKED Size: 	131072	136.26
ARRAY Size: 	131072	129.99
LINKED Size: 	262144	16.27
ARRAY Size: 	262144	18.33
LINKED Size: 	524288	48.74
ARRAY Size: 	524288	73.34
LINKED Size: 	1048576	19.16
ARRAY Size: 	1048576	54.63
